"id","firstName","secondName","lastName","firstLastName","club","districtNum","districtName","voivodeship","email","active"
194,"Marek","Grzegorz","Krząkała","Marek Krząkała","KO",30,"Bielsko-Biała","śląskie","Marek.Krzakala@sejm.pl",true
195,"Adam",,"Krzemiński","Adam Krzemiński","KO",16,"Płock","mazowieckie","Adam.Krzeminski@sejm.pl",true
196,"Henryka","Krystyna","Krzywonos-Strycharska","Henryka Krzywonos-Strycharska","KO",26,"Słupsk","pomorskie","Henryka.Krzywonos-Strycharska@sejm.pl",true
197,"Krzysztof","Jan","Kubów","Krzysztof Kubów","PiS",1,"Legnica","dolnośląskie","Krzysztof.Kubow@sejm.pl",true
198,"Anita","Agnieszka","Kucharska-Dziedzic","Anita Kucharska-Dziedzic","Lewica",8,"Zielona Góra","lubuskie","Anita.Kucharska-Dziedzic@sejm.pl",true
199,"Marek","Tadeusz","Kuchciński","Marek Kuchciński","PiS",22,"Krosno","podkarpackie","Marek.Kuchcinski@sejm.pl",true
200,"Paweł","Piotr","Kukiz","Paweł Kukiz","Republikanie",21,"Opole","opolskie","Pawel.Kukiz@sejm.pl",true
201,"Marcin","Robert","Kulasek","Marcin Kulasek","Lewica",35,"Olsztyn","warmińsko-mazurskie","Marcin.Kulasek@sejm.pl",true
202,"Maria","Stanisława","Kurowska","Maria Kurowska","PiS",22,"Krosno","podkarpackie","Maria.Kurowska@sejm.pl",true
203,"Władysław","Michał","Kurowski","Władysław Kurowski","PiS",12,"Kraków","małopolskie","Wladyslaw.Kurowski@sejm.pl",true
204,"Zbigniew","Krzysztof","Kuźmiuk","Zbigniew Krzysztof Kuźmiuk","PiS",17,"Radom","mazowieckie","Zbigniew.Kuzmiuk@sejm.pl",true
205,"Anna",,"Kwiecień","Anna Kwiecień","PiS",17,"Radom","mazowieckie","Anna.Kwiecien@sejm.pl",true
206,"Piotr","Michał","Lachowicz","Piotr Lachowicz","KO",14,"Nowy Sącz","małopolskie","Piotr.Lachowicz@sejm.pl",true
207,"Stanisław","Józef","Lamczyk","Stanisław Lamczyk","KO",26,"Słupsk","pomorskie","Stanislaw.Lamczyk@sejm.pl",true
208,"Maciej","Grzegorz","Lasek","Maciej Lasek","KO",20,"Warszawa","mazowieckie","Maciej.Lasek@sejm.pl",true
209,"Gabriela","Teresa","Lenartowicz","Gabriela Lenartowicz","KO",30,"Bielsko-Biała","śląskie","Gabriela.Lenartowicz@sejm.pl",true
210,"Ewa","Maria","Leniart","Ewa Leniart","PiS",23,"Rzeszów","podkarpackie","Ewa.Leniart@sejm.pl",true
211,"Aleksandra","Maria","Leo","Aleksandra Leo","Polska2050-TD",2,"Wałbrzych","dolnośląskie","Aleksandra.Leo@sejm.pl",true
212,"Izabela","Dorota","Leszczyna","Izabela Leszczyna","KO",28,"Częstochowa","śląskie","Izabela.Leszczyna@sejm.pl",true
213,"Joanna","Katarzyna","Lichocka","Joanna Lichocka","PiS",11,"Sieradz","łódzkie","Joanna.Lichocka@sejm.pl",true
214,"Krzysztof","Bogdan","Lipiec","Krzysztof Lipiec","PiS",33,"Kielce","świętokrzyskie","Krzysztof.Lipiec@sejm.pl",true
215,"Łukasz","Karol","Litewka","Łukasz Litewka","Lewica",32,"Katowice","śląskie","Lukasz.Litewka@sejm.pl",true
216,"Grzegorz","Andrzej","Lorek","Grzegorz Lorek","PiS",10,"Piotrków Trybunalski","łódzkie","Grzegorz.Lorek@sejm.pl",true
217,"Radosław",,"Lubczyk","Radosław Lubczyk","PSL-TD",40,"Koszalin","zachodniopomorskie","Radoslaw.Lubczyk@sejm.pl",true
218,"Katarzyna","Anna","Lubnauer","Katarzyna Anna Lubnauer","KO",19,"Warszawa","mazowieckie","Katarzyna.Lubnauer@sejm.pl",true
219,"Adam","Sławomir","Luboński","Adam Luboński","Polska2050-TD",38,"Piła","wielkopolskie","Adam.Lubonski@sejm.pl",true
220,"Artur","Jarosław","Łącki","Artur Jarosław Łącki","KO",41,"Szczecin","zachodniopomorskie","Artur.Lacki@sejm.pl",true
221,"Alicja",,"Łepkowska-Gołaś","Alicja Łepkowska-Gołaś","KO",24,"Białystok","podlaskie","Alicja.Lepkowska-Golas@sejm.pl",true
222,"Dorota","Ewa","Łoboda","Dorota Łoboda","KO",19,"Warszawa","mazowieckie","Dorota.Loboda@sejm.pl",true
223,"Krystian","Marek","Łuczak","Krystian Łuczak","KO",5,"Toruń","kujawsko-pomorskie","Krystian.Luczak@sejm.pl",true
224,"Sebastian",,"Łukaszewicz","Sebastian Łukaszewicz","PiS",24,"Białystok","podlaskie","Sebastian.Lukaszewicz@sejm.pl",true
225,"Marzena","Anna","Machałek","Marzena Anna Machałek","PiS",1,"Legnica","dolnośląskie","Marzena.Machalek@sejm.pl",true
226,"Antoni",,"Macierewicz","Antoni Macierewicz","PiS",10,"Piotrków Trybunalski","łódzkie","Antoni.Macierewicz@sejm.pl",true
227,"Marlena","Magdalena","Maląg","Marlena Magdalena Maląg","PiS",36,"Kalisz","wielkopolskie","Marlena.Malag@sejm.pl",false
228,"Ewa","Danuta","Malik","Ewa Malik","PiS",32,"Katowice","śląskie","Ewa.Malik@sejm.pl",true
229,"Mirosław","Wojciech","Maliszewski","Mirosław Maliszewski","PSL-TD",17,"Radom","mazowieckie","Miroslaw.Maliszewski@sejm.pl",true
230,"Maciej",,"Małecki","Maciej Małecki","PiS",16,"Płock","mazowieckie","Maciej.Malecki@sejm.pl",true
231,"Arkadiusz",,"Marchewka","Arkadiusz Marchewka","KO",41,"Szczecin","zachodniopomorskie","Arkadiusz.Marchewka@sejm.pl",true
232,"Jagna","Kinga","Marczułajtis-Walczak","Jagna Marczułajtis-Walczak","KO",13,"Kraków","małopolskie","Jagna.Marczulajtis-Walczak@sejm.pl",false
233,"Dorota",,"Marek","Dorota Marek","KO",13,"Kraków","małopolskie","Dorota.Marek@sejm.pl",true
234,"Dariusz","Piotr","Matecki","Dariusz Matecki","PiS",41,"Szczecin","zachodniopomorskie","Dariusz.Matecki@sejm.pl",true
235,"Jerzy","Marian","Materna","Jerzy Materna","PiS",8,"Zielona Góra","lubuskie","Jerzy.Materna@sejm.pl",true
236,"Grzegorz",,"Matusiak","Grzegorz Matusiak","PiS",30,"Bielsko-Biała","śląskie","Grzegorz.Matusiak@sejm.pl",true
237,"Katarzyna","Irena","Matusik-Lipiec","Katarzyna Matusik-Lipiec","KO",13,"Kraków","małopolskie","Katarzyna.Matusik-Lipiec@sejm.pl",true
238,"Marek",,"Matuszewski","Marek Matuszewski","PiS",11,"Sieradz","łódzkie","Marek.Matuszewski@sejm.pl",true
239,"Paulina",,"Matysiak","Paulina Matysiak","Razem",11,"Sieradz","łódzkie","Paulina.Matysiak@sejm.pl",true
240,"Łukasz",,"Mejza","Łukasz Mejza","PiS",8,"Zielona Góra","lubuskie","Lukasz.Mejza@sejm.pl",true
241,"Sławomir","Jerzy","Mentzen","Sławomir Mentzen","Konfederacja",19,"Warszawa","mazowieckie","Slawomir.Mentzen@sejm.pl",true
242,"Anna","Maria","Milczanowska","Anna Milczanowska","PiS",10,"Piotrków Trybunalski","łódzkie","Anna.Milczanowska@sejm.pl",true
243,"Daniel","George","Milewski","Daniel Milewski","PiS",18,"Siedlce","mazowieckie","Daniel.Milewski@sejm.pl",true
244,"Rajmund","Tadeusz","Miller","Rajmund Miller","KO",21,"Opole","opolskie","Rajmund.Miller@sejm.pl",false
245,"Aleksander","Jan","Miszalski","Aleksander Miszalski","KO",13,"Kraków","małopolskie","Aleksander.Miszalski@sejm.pl",false
246,"Mateusz","Jakub","Morawiecki","Mateusz Morawiecki","PiS",31,"Katowice","śląskie","Mateusz.Morawiecki@sejm.pl",true
247,"Jan",,"Mosiński","Jan Mosiński","PiS",36,"Kalisz","wielkopolskie","Jan.Mosinski@sejm.pl",true
248,"Michał",,"Moskal","Michał Moskal","PiS",6,"Lublin","lubelskie","Michal.Moskal@sejm.pl",true
249,"Czesław",,"Mroczek","Czesław Mroczek","KO",18,"Siedlce","mazowieckie","Czeslaw.Mroczek@sejm.pl",true
250,"Aleksander","Mikołaj","Mrówczyński","Aleksander Mikołaj Mrówczyński","PiS",26,"Słupsk","pomorskie","Aleksander.Mrowczynski@sejm.pl",true
251,"Izabela","Katarzyna","Mrzygłocka","Izabela Katarzyna Mrzygłocka","KO",2,"Wałbrzych","dolnośląskie","Izabela.Mrzyglocka@sejm.pl",false
252,"Joanna",,"Mucha","Joanna Mucha","Polska2050-TD",6,"Lublin","lubelskie","Joanna.Mucha@sejm.pl",true
253,"Arkadiusz",,"Mularczyk","Arkadiusz Mularczyk","PiS",14,"Nowy Sącz","małopolskie","Arkadiusz.Mularczyk@sejm.pl",false
254,"Krzysztof",,"Mulawa","Krzysztof Mulawa","Konfederacja",18,"Siedlce","mazowieckie","Krzysztof.Mulawa@sejm.pl",true
255,"Piotr","Józef","Müller","Piotr Müller","PiS",26,"Słupsk","pomorskie","Piotr.Muller@sejm.pl",false
256,"Arkadiusz",,"Myrcha","Arkadiusz Myrcha","KO",5,"Toruń","kujawsko-pomorskie","Arkadiusz.Myrcha@sejm.pl",true
257,"Grzegorz","Bernard","Napieralski","Grzegorz Napieralski","KO",41,"Szczecin","zachodniopomorskie","Grzegorz.Napieralski@sejm.pl",true
258,"Dorota",,"Niedziela","Dorota Niedziela","KO",12,"Kraków","małopolskie","Dorota.Niedziela@sejm.pl",true
259,"Jacek",,"Niedźwiedzki","Jacek Niedźwiedzki","KO",24,"Białystok","podlaskie","Jacek.Niedzwiedzki@sejm.pl",true
260,"Małgorzata","Barbara","Niemczyk","Małgorzata Niemczyk","KO",9,"Łódź","łódzkie","Malgorzata.Niemczyk@sejm.pl",true
261,"Jolanta","Magdalena","Niezgodzka","Jolanta Niezgodzka","KO",3,"Wrocław","dolnośląskie","Jolanta.Niezgodzka@sejm.pl",true
262,"Sławomir",,"Nitras","Sławomir Nitras","KO",41,"Szczecin","zachodniopomorskie","Slawomir.Nitras@sejm.pl",true
263,"Barbara","Anna","Nowacka","Barbara Nowacka","KO",26,"Słupsk","pomorskie","Barbara.Nowacka@sejm.pl",true
264,"Maja","Ewa","Nowak","Maja Ewa Nowak","Polska2050-TD",8,"Zielona Góra","lubuskie","Maja.Nowak@sejm.pl",true
265,"Tomasz","Piotr","Nowak","Tomasz Piotr Nowak","KO",37,"Konin","wielkopolskie","Tomasz.Nowak@sejm.pl",true
266,"Wanda","Hanna","Nowicka","Wanda Nowicka","Lewica",29,"Katowice","śląskie","Wanda.Nowicka@sejm.pl",true
267,"Urszula","Teresa","Nowogórska","Urszula Nowogórska","PSL-TD",14,"Nowy Sącz","małopolskie","Urszula.Nowogorska@sejm.pl",true
268,"Mirosława",,"Nykiel","Mirosława Nykiel","KO",27,"Bielsko-Biała","śląskie","Miroslawa.Nykiel@sejm.pl",false
269,"Marcin","Michał","Ociepa","Marcin Ociepa","PiS",21,"Opole","opolskie","Marcin.Ociepa@sejm.pl",true
270,"Marzena",,"Okła-Drewnowicz","Marzena Okła-Drewnowicz","KO",33,"Kielce","świętokrzyskie","Marzena.Okla-Drewnowicz@sejm.pl",true
271,"Barbara",,"Okuła","Barbara Okuła","Polska2050-TD",24,"Białystok","podlaskie","Barbara.Okula@sejm.pl",true
272,"Barbara","Anna","Oliwiecka","Barbara Oliwiecka","Polska2050-TD",36,"Kalisz","wielkopolskie","Barbara.Oliwiecka@sejm.pl",true
273,"Dorota","Zofia","Olko","Dorota Olko","Lewica",19,"Warszawa","mazowieckie","Dorota.Olko@sejm.pl",true
274,"Paweł","Bartosz","Olszewski","Paweł Olszewski","KO",4,"Bydgoszcz","kujawsko-pomorskie","Pawel.Olszewski@sejm.pl",true
275,"Mirosław","Adam","Orliński","Mirosław Adam Orliński","PSL-TD",16,"Płock","mazowieckie","Miroslaw.Orlinski@sejm.pl",true
276,"Łukasz","Tomasz","Osmalak","Łukasz Osmalak","Polska2050-TD",30,"Bielsko-Biała","śląskie","Lukasz.Osmalak@sejm.pl",true
277,"Katarzyna",,"Osos","Katarzyna Osos","KO",8,"Zielona Góra","lubuskie","Katarzyna.Osos@sejm.pl",true
278,"Jacek","Piotr","Osuch","Jacek Osuch","PiS",13,"Kraków","małopolskie","Jacek.Osuch@sejm.pl",true
279,"Jacek","Dawid","Ozdoba","Jacek Ozdoba","PiS",16,"Płock","mazowieckie","Jacek.Ozdoba@sejm.pl",false
280,"Teresa",,"Pamuła","Teresa Pamuła","PiS",22,"Krosno","podkarpackie","Teresa.Pamula@sejm.pl",true
281,"Paweł",,"Papke","Paweł Papke","KO",35,"Olsztyn","warmińsko-mazurskie","Pawel.Papke@sejm.pl",true
282,"Urszula","Stefania","Pasławska","Urszula Pasławska","PSL-TD",35,"Olsztyn","warmińsko-mazurskie","Urszula.Paslawska@sejm.pl",true
283,"Krzysztof","Michał","Paszyk","Krzysztof Paszyk","PSL-TD",38,"Piła","wielkopolskie","Krzysztof.Paszyk@sejm.pl",true
284,"Karolina","Monika","Pawliczak","Karolina Pawliczak","KO",36,"Kalisz","wielkopolskie","Karolina.Pawliczak@sejm.pl",true
285,"Bartłomiej","Artur","Pejo","Bartłomiej Pejo","Konfederacja",6,"Lublin","lubelskie","Bartlomiej.Pejo@sejm.pl",true
286,"Ryszard","Jerzy","Petru","Ryszard Petru","Polska2050-TD",19,"Warszawa","mazowieckie","Ryszard.Petru@sejm.pl",true
287,"Małgorzata","Anna","Pępek","Małgorzata Pępek","KO",27,"Bielsko-Biała","śląskie","Malgorzata.Pepek@sejm.pl",true
288,"Bolesław","Grzegorz","Piecha","Bolesław Piecha","PiS",30,"Bielsko-Biała","śląskie","Boleslaw.Piecha@sejm.pl",true
289,"Grzegorz",,"Piechowiak","Grzegorz Piechowiak","PiS",38,"Piła","wielkopolskie","Grzegorz.Piechowiak@sejm.pl",true
290,"Anna","Maria","Pieczarka","Anna Pieczarka","PiS",15,"Tarnów","małopolskie","Anna.Pieczarka@sejm.pl",true
291,"Katarzyna","Maria","Piekarska","Katarzyna Maria Piekarska","KO",19,"Warszawa","mazowieckie","Katarzyna.Piekarska@sejm.pl",true
292,"Norbert","jerzy","Pietrykowski","Norbert Pietrykowski","Polska2050-TD",4,"Bydgoszcz","kujawsko-pomorskie","Norbert.Pietrykowski@sejm.pl",true
293,"Lucjan","Marek","Pietrzczyk","Lucjan Marek Pietrzczyk","KO",33,"Kielce","świętokrzyskie","Lucjan.Pietrzczyk@sejm.pl",true
294,"Dariusz",,"Piontkowski","Dariusz Piontkowski","PiS",24,"Białystok","podlaskie","Dariusz.Piontkowski@sejm.pl",true
295,"Kazimierz","Florian","Plocke","Kazimierz Plocke","KO",26,"Słupsk","pomorskie","Kazimierz.Plocke@sejm.pl",true
296,"Grzegorz","Adam","Płaczek","Grzegorz Płaczek","Konfederacja",31,"Katowice","śląskie","Grzegorz.Placzek@sejm.pl",true
297,"Kacper","Maciej","Płażyński","Kacper Płażyński","PiS",25,"Gdańsk","pomorskie","Kacper.Plazynski@sejm.pl",true
298,"Szymon","Marek","Pogoda","Szymon Pogoda","PiS",1,"Legnica","dolnośląskie","Szymon.Pogoda@sejm.pl",true
299,"Jerzy","Jan","Polaczek","Jerzy Polaczek","PiS",31,"Katowice","śląskie","Jerzy.Polaczek@sejm.pl",true
300,"Elżbieta","Anna","Polak","Elżbieta Anna Polak","KO",8,"Zielona Góra","lubuskie","Elzbieta.Polak@sejm.pl",true
301,"Piotr",,"Polak","Piotr Polak","PiS",11,"Sieradz","łódzkie","Piotr.Polak@sejm.pl",true
302,"Agnieszka","Dominika","Pomaska","Agnieszka Pomaska","KO",25,"Gdańsk","pomorskie","Agnieszka.Pomaska@sejm.pl",true
303,"Marcin","Bartosz","Porzucek","Marcin Porzucek","PiS",38,"Piła","wielkopolskie","Marcin.Porzucek@sejm.pl",true
304,"Jacek",,"Protas","Jacek Protas","KO",34,"Elbląg","warmińsko-mazurskie","Jacek.Protas@sejm.pl",false
305,"Marcin","Paweł","Przydacz","Marcin Przydacz","PiS",11,"Sieradz","łódzkie","Marcin.Przydacz@sejm.pl",false
306,"Grzegorz","Paweł","Puda","Grzegorz Puda","PiS",27,"Bielsko-Biała","śląskie","Grzegorz.Puda@sejm.pl",true
307,"Michał",,"Pyrzyk","Michał Pyrzyk","PSL-TD",37,"Konin","wielkopolskie","Michal.Pyrzyk@sejm.pl",true
308,"Renata","Urszula","Rak","Renata Rak","KO",40,"Koszalin","zachodniopomorskie","Renata.Rak@sejm.pl",true
309,"Ireneusz",,"Raś","Ireneusz Raś","PSL-TD",13,"Kraków","małopolskie","Ireneusz.Ras@sejm.pl",true
310,"Zbigniew","Włodzimierz","Rau","Zbigniew Rau","PiS",9,"Łódź","łódzkie","Zbigniew.Rau@sejm.pl",true
311,"Marcin",,"Romanowski","Marcin Romanowski","PiS",7,"Chełm","lubelskie","Marcin.Romanowski@sejm.pl",true
312,"Bartosz",,"Romowicz","Bartosz Romowicz","Polska2050-TD",22,"Krosno","podkarpackie","Bartosz.Romowicz@sejm.pl",true
313,"Monika","Anna","Rosa","Monika Rosa","KO",31,"Katowice","śląskie","Monika.Rosa@sejm.pl",true
314,"Wiesław","Marian","Różyński","Wiesław Różyński","PSL-TD",7,"Chełm","lubelskie","Wieslaw.Rozynski@sejm.pl",true
315,"Urszula","Beata","Rusecka","Urszula Rusecka","PiS",15,"Tarnów","małopolskie","Urszula.Rusecka@sejm.pl",true
316,"Grzegorz","Stanisław","Rusiecki","Grzegorz Rusiecki","KO",36,"Kalisz","wielkopolskie","Grzegorz.Rusiecki@sejm.pl",false
317,"Jakub","Adam","Rutnicki","Jakub Rutnicki","KO",38,"Piła","wielkopolskie","Jakub.Rutnicki@sejm.pl",true
318,"Paweł","Piotr","Rychlik","Paweł Rychlik","PiS",11,"Sieradz","łódzkie","Pawel.Rychlik@sejm.pl",true
319,"Marek","Zdzisław","Rząsa","Marek Rząsa","KO",22,"Krosno","podkarpackie","Marek.Rzasa@sejm.pl",true
320,"Jarosław","Michał","Rzepa","Jarosław Rzepa","PSL-TD",41,"Szczecin","zachodniopomorskie","Jaroslaw.Rzepa@sejm.pl",true
321,"Jarosław",,"Sachajko","Jarosław Sachajko","Republikanie",7,"Chełm","lubelskie","Jaroslaw.Sachajko@sejm.pl",true
322,"Paweł",,"Sałek","Paweł Sałek","PiS",10,"Piotrków Trybunalski","łódzkie","Pawel.Salek@sejm.pl",true
323,"Wojciech","Paweł","Saługa","Wojciech Saługa","KO",32,"Katowice","śląskie","Wojciech.Saluga@sejm.pl",false
324,"Tadeusz",,"Samborski","Tadeusz Samborski","PSL-TD",1,"Legnica","dolnośląskie","Tadeusz.Samborski@sejm.pl",true
325,"Jacek","Robert","Sasin","Jacek Sasin","PiS",24,"Białystok","podlaskie","Jacek.Sasin@sejm.pl",true
326,"Marek","Wacław","Sawicki","Marek Sawicki","PSL-TD",18,"Siedlce","mazowieckie","Marek.Sawicki@sejm.pl",true
327,"Ewa","Katarzyna","Schädler","Ewa Schädler","Polska2050-TD",39,"Poznań","wielkopolskie","Ewa.Schadler@sejm.pl",true
328,"Joanna","Izabela","Scheuring-Wielgus","Joanna Scheuring-Wielgus","Lewica",5,"Toruń","kujawsko-pomorskie","Joanna.Scheuring-Wielgus@sejm.pl",false
329,"Anna","Katarzyna","Schmidt","Anna Schmidt","PiS",22,"Krosno","podkarpackie","Anna.Schmidt@sejm.pl",true
330,"Łukasz",,"Schreiber","Łukasz Schreiber","PiS",4,"Bydgoszcz","kujawsko-pomorskie","Lukasz.Schreiber@sejm.pl",true
331,"Jarosław","Daniel","Sellin","Jarosław Sellin","PiS",25,"Gdańsk","pomorskie","Jaroslaw.Sellin@sejm.pl",true
332,"Olga","Ewa","Semeniuk-Patkowska","Olga Ewa Semeniuk-Patkowska","PiS",35,"Olsztyn","warmińsko-mazurskie","Olga.Semeniuk-Patkowska@sejm.pl",true
333,"Edward",,"Siarka","Edward Siarka","PiS",14,"Nowy Sącz","małopolskie","Edward.Siarka@sejm.pl",true
334,"Krystyna","Mieczysława","Sibińska","Krystyna Sibińska","KO",8,"Zielona Góra","lubuskie","Krystyna.Sibinska@sejm.pl",true
335,"Czesław","Adam","Siekierski","Czesław Siekierski","PSL-TD",33,"Kielce","świętokrzyskie","Czeslaw.Siekierski@sejm.pl",true
336,"Rafał",,"Siemaszko","Rafał Siemaszko","KO",26,"Słupsk","pomorskie","Rafal.Siemaszko@sejm.pl",true
337,"Tomasz",,"Siemoniak","Tomasz Siemoniak","KO",21,"Opole","opolskie","Tomasz.Siemoniak@sejm.pl",true
338,"Bartłomiej","Henryk","Sienkiewicz","Bartłomiej Sienkiewicz","KO",13,"Kraków","małopolskie","Bartlomiej.Sienkiewicz@sejm.pl",false
339,"Arkadiusz","-","Sikora","Arkadiusz Sikora","Lewica",1,"Legnica","dolnośląskie","Arkadiusz.Sikora@sejm.pl",true
340,"Włodzimierz","Bogdan","Skalik","Włodzimierz Skalik","Konfederacja_KP",21,"Opole","opolskie","Wlodzimierz.Skalik@sejm.pl",true
341,"Marcin","Seweryn","Skonieczka","Marcin Skonieczka","Polska2050-TD",5,"Toruń","kujawsko-pomorskie","Marcin.Skonieczka@sejm.pl",true
342,"Krystyna",,"Skowrońska","Krystyna Skowrońska","KO",23,"Rzeszów","podkarpackie","Krystyna.Skowronska@sejm.pl",true
343,"Sławomir",,"Skwarek","Sławomir Skwarek","PiS",6,"Lublin","lubelskie","Slawomir.Skwarek@sejm.pl",true
344,"Waldemar","Jan","Sługocki","Waldemar Sługocki","KO",8,"Zielona Góra","lubuskie","Waldemar.Slugocki@sejm.pl",true
345,"Weronika","Anna","Smarduch","Weronika Smarduch","KO",14,"Nowy Sącz","małopolskie","Weronika.Smarduch@sejm.pl",true
346,"Kazimierz",,"Smoliński","Kazimierz Smoliński","PiS",25,"Gdańsk","pomorskie","Kazimierz.Smolinski@sejm.pl",true
347,"Anna","Helena","Sobolak","Anna Sobolak","KO",3,"Wrocław","dolnośląskie","Anna.Sobolak@sejm.pl",true
348,"Krzysztof",,"Sobolewski","Krzysztof Sobolewski","PiS",23,"Rzeszów","podkarpackie","Krzysztof.Sobolewski@sejm.pl",true
349,"Artur",,"Soboń","Artur Soboń","PiS",6,"Lublin","lubelskie","Artur.Sobon@sejm.pl",false
350,"Agnieszka","Anna","Soin","Agnieszka Anna Soin","PiS",3,"Wrocław","dolnośląskie","Agnieszka.Soin@sejm.pl",true
351,"Zbigniew",,"Sosnowski","Zbigniew Sosnowski","PSL-TD",5,"Toruń","kujawsko-pomorskie","Zbigniew.Sosnowski@sejm.pl",true
352,"Marek","Jan","Sowa","Marek Sowa","KO",12,"Kraków","małopolskie","Marek.Sowa@sejm.pl",true
353,"Katarzyna",,"Sójka","Katarzyna Sójka","PiS",36,"Kalisz","wielkopolskie","Katarzyna.Sojka@sejm.pl",true
354,"Magdalena","Joanna","Sroka","Magdalena Sroka","PSL-TD",25,"Gdańsk","pomorskie","Magdalena.Sroka@sejm.pl",true
355,"Mirosława","Agnieszka","Stachowiak-Różecka","Mirosława Stachowiak-Różecka","PiS",3,"Wrocław","dolnośląskie","Miroslawa.Stachowiak-Rozecka@sejm.pl",true
356,"Dariusz","Paweł","Stefaniuk","Dariusz Stefaniuk","PiS",7,"Chełm","lubelskie","Dariusz.Stefaniuk@sejm.pl",true
357,"Franciszek","Wojciech","Sterczewski","Franciszek Sterczewski","KO",39,"Poznań","wielkopolskie","Franciszek.Sterczewski@sejm.pl",true
358,"Piotr","Paweł","Strach","Piotr Paweł Strach","Polska2050-TD",29,"Katowice","śląskie","Piotr.Strach@sejm.pl",true
359,"Mirosław","Tadeusz","Suchoń","Mirosław Suchoń","Polska2050-TD",27,"Bielsko-Biała","śląskie","Miroslaw.Suchon@sejm.pl",true
360,"Marek",,"Suski","Marek Suski","PiS",17,"Radom","mazowieckie","Marek.Suski@sejm.pl",true
361,"Paweł",,"Suski","Paweł Suski","KO",40,"Koszalin","zachodniopomorskie","Pawel.Suski@sejm.pl",true
362,"Artur","Lesław","Szałabawka","Artur Szałabawka","PiS",41,"Szczecin","zachodniopomorskie","Artur.Szalabawka@sejm.pl",true
363,"Wojciech","Piotr","Szarama","Wojciech Szarama","PiS",29,"Katowice","śląskie","Wojciech.Szarama@sejm.pl",true
364,"Wiesław","Andrzej","Szczepański","Wiesław Szczepański","Lewica",36,"Kalisz","wielkopolskie","Wieslaw.Szczepanski@sejm.pl",true
365,"Michał","Roch","Szczerba","Michał Szczerba","KO",19,"Warszawa","mazowieckie","Michal.Szczerba@sejm.pl",false
366,"Krzysztof","Łukasz","Szczucki","Krzysztof Szczucki","PiS",5,"Toruń","kujawsko-pomorskie","Krzysztof.Szczucki@sejm.pl",true
367,"Józefa",,"Szczurek-Żelazko","Józefa Szczurek-Żelazko","PiS",15,"Tarnów","małopolskie","Jozefa.Szczurek-Zelazko@sejm.pl",true
368,"Paweł","Maciej","Szefernaker","Paweł Szefernaker","PiS",40,"Koszalin","zachodniopomorskie","Pawel.Szefernaker@sejm.pl",false
369,"Andrzej","Jan","Szejna","Andrzej Szejna","Lewica",33,"Kielce","świętokrzyskie","Andrzej.Szejna@sejm.pl",true
370,"Andrzej",,"Szewiński","Andrzej Szewiński","KO",28,"Częstochowa","śląskie","Andrzej.Szewinski@sejm.pl",true
371,"Adam","Stanisław","Szłapka","Adam Szłapka","KO",39,"Poznań","wielkopolskie","Adam.Szlapka@sejm.pl",true
372,"Henryk","Marian","Szopiński","Henryk Szopiński","KO",38,"Piła","wielkopolskie","Henryk.Szopinski@sejm.pl",true
373,"Paweł",,"Szrot","Paweł Szrot","PiS",4,"Bydgoszcz","kujawsko-pomorskie","Pawel.Szrot@sejm.pl",true
374,"Krystyna","Maria","Szumilas","Krystyna Szumilas","KO",29,"Katowice","śląskie","Krystyna.Szumilas@sejm.pl",true
375,"Stanisław",,"Szwed","Stanisław Szwed","PiS",27,"Bielsko-Biała","śląskie","Stanislaw.Szwed@sejm.pl",true
376,"Ewa","Joanna","Szymanowska","Ewa Szymanowska","Polska2050-TD",9,"Łódź","łódzkie","Ewa.Szymanowska@sejm.pl",true
377,"Tomasz","Józef","Szymański","Tomasz Szymański","KO",5,"Toruń","kujawsko-pomorskie","Tomasz.Szymanski@sejm.pl",true
378,"Szymon","Andrzej","Szynkowski vel Sęk","Szymon Szynkowski vel Sęk","PiS",39,"Poznań","wielkopolskie","Szymon.SzynkowskiVelSek@sejm.pl",true
379,"Łukasz","Andrzej","Ściebiorowski","Łukasz Ściebiorowski","KO",31,"Katowice","śląskie","Lukasz.Sciebiorowski@sejm.pl",true
380,"Agnieszka",,"Ścigaj","Agnieszka Ścigaj","PiS",13,"Kraków","małopolskie","Agnieszka.Scigaj@sejm.pl",true
381,"Andrzej",,"Śliwka","Andrzej Śliwka","PiS",34,"Elbląg","warmińsko-mazurskie","Andrzej.Sliwka@sejm.pl",true
382,"Paweł","Marek","Śliz","Paweł Śliz","Polska2050-TD",12,"Kraków","małopolskie","Pawel.Sliz@sejm.pl",true
383,"Krzysztof","Jan","Śmiszek","Krzysztof Śmiszek","Lewica",3,"Wrocław","dolnośląskie","Krzysztof.Smiszek@sejm.pl",false
384,"Jacek",,"Świat","Jacek Świat","PiS",3,"Wrocław","dolnośląskie","Jacek.Swiat@sejm.pl",true
385,"Apoloniusz","Leopold","Tajner","Apoloniusz Tajner","KO",27,"Bielsko-Biała","śląskie","Apoloniusz.Tajner@sejm.pl",true
386,"Krzysztof",,"Tchórzewski","Krzysztof Tchórzewski","PiS",18,"Siedlce","mazowieckie","Krzysztof.Tchorzewski@sejm.pl",true
387,"Robert",,"Telus","Robert Telus","PiS",10,"Piotrków Trybunalski","łódzkie","Robert.Telus@sejm.pl",true
